studyFileAccession,studyAccession,studyFileType,description,fileName,filePath
SFL13693,SDY1182,Study Summary Description,Data curation noates,SDY1182_Data_Curation_Notes.doc,/SDY1182/StudyFiles/SDY1182_Data_Curation_Notes.doc
SFL19453,SDY1182,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6069.SDY1182.txt,/SDY1182/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6069.SDY1182.txt
SFL19455,SDY1185,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6083.SDY1185.txt,/SDY1185/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6083.SDY1185.txt
SFL19354,SDY1190,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4876.SDY1190.txt,/SDY1190/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4876.SDY1190.txt
SFL13932,SDY1205,Study Summary Description,Curation Notes,study_curation_notes_SDY1205.txt,/SDY1205/StudyFiles/study_curation_notes_SDY1205.txt
SFL13933,SDY1205,Study Data,AFR Cohort result,AFR_OR_pval_annotations.txt,/SDY1205/StudyFiles/AFR_OR_pval_annotations.txt
SFL13934,SDY1205,Study Data,AMR Cohort result,AMR_OR_pval_annotations.txt,/SDY1205/StudyFiles/AMR_OR_pval_annotations.txt
SFL13935,SDY1205,Study Data,EAS Cohort result,EAS_OR_pval_annotations.txt,/SDY1205/StudyFiles/EAS_OR_pval_annotations.txt
SFL13936,SDY1205,Study Data,EUR Cohort result,EUR_OR_pval_annotations.txt,/SDY1205/StudyFiles/EUR_OR_pval_annotations.txt
SFL13937,SDY1205,Study Data,SAS Cohort result,SAS_OR_pval_annotations.txt,/SDY1205/StudyFiles/SAS_OR_pval_annotations.txt
SFL19854,SDY1205,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1205.txt,/SDY1205/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1205.txt
SFL14889,SDY1206,Study Summary Description,Curation Notes,SDY1206_Curation_Notes.txt,/SDY1206/StudyFiles/SDY1206_Curation_Notes.txt
SFL19855,SDY1206,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1206.txt,/SDY1206/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1206.txt
SFL14099,SDY1215,Study Data,Summary Results BBC,BBC Mito and DA.xlsx,/SDY1215/StudyFiles/BBC Mito and DA.xlsx
SFL14100,SDY1215,Study Data,Summary Results GPN,GPN-PBR Mito and DA.xlsx,/SDY1215/StudyFiles/GPN-PBR Mito and DA.xlsx
SFL14101,SDY1215,Study Summary Description,Study Curation Notes,SDY1215_Curation_Notes.txt,/SDY1215/StudyFiles/SDY1215_Curation_Notes.txt
SFL19856,SDY1215,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1215.txt,/SDY1215/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4009.SDY1215.txt
SFL19385,SDY1217,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5589.SDY1217.txt,/SDY1217/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5589.SDY1217.txt
SFL19440,SDY1230,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6059.SDY1230.txt,/SDY1230/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6059.SDY1230.txt
SFL14238,SDY1231,Adverse Events,Serious Adverse Event,addpmstr_r_ctot09.txt,/SDY1231/StudyFiles/addpmstr_r_ctot09.txt
SFL14239,SDY1231,Adverse Events,Serious Adverse Event,addrmstr_r_ctot09.txt,/SDY1231/StudyFiles/addrmstr_r_ctot09.txt
SFL14240,SDY1231,Adverse Events,Adverse Events: Pre-Randomization,aexpcode_r_ctot09.txt,/SDY1231/StudyFiles/aexpcode_r_ctot09.txt
SFL14241,SDY1231,Adverse Events,Adverse Events: Pre-Randomization,aexpmstr_r_ctot09.txt,/SDY1231/StudyFiles/aexpmstr_r_ctot09.txt
SFL14242,SDY1231,Adverse Events,Adverse Events: Post-Randomization,aexrcode_r_ctot09.txt,/SDY1231/StudyFiles/aexrcode_r_ctot09.txt
SFL14243,SDY1231,Adverse Events,Adverse Events: Post-Randomization,aexrmstr_r_ctot09.txt,/SDY1231/StudyFiles/aexrmstr_r_ctot09.txt
SFL14244,SDY1231,Study Data,Local Biopsy,biokmstr_r_ctot09.txt,/SDY1231/StudyFiles/biokmstr_r_ctot09.txt
SFL14245,SDY1231,Study Data,Local Biopsy,bioumstr_r_ctot09.txt,/SDY1231/StudyFiles/bioumstr_r_ctot09.txt
SFL14246,SDY1231,Lab Test Results,Serum Chemistry,chm1mstr_r_ctot09.txt,/SDY1231/StudyFiles/chm1mstr_r_ctot09.txt
SFL14247,SDY1231,Lab Test Results,Serum Chemistry,chm2mstr_r_ctot09.txt,/SDY1231/StudyFiles/chm2mstr_r_ctot09.txt
SFL14248,SDY1231,Lab Test Results,Serum Chemistry,chm3mstr_r_ctot09.txt,/SDY1231/StudyFiles/chm3mstr_r_ctot09.txt
SFL14249,SDY1231,Concomitant Medications,Concomitant Non-Immunosuppressive Medications,cmedmstr_r_ctot09.txt,/SDY1231/StudyFiles/cmedmstr_r_ctot09.txt
SFL14250,SDY1231,Demographics,Donor Demographics,ddemmstr_r_ctot09.txt,/SDY1231/StudyFiles/ddemmstr_r_ctot09.txt
SFL14251,SDY1231,Demographics,Recipient Demographics,demomstr_r_ctot09.txt,/SDY1231/StudyFiles/demomstr_r_ctot09.txt
SFL14252,SDY1231,Study Data,Major Protocol Deviation,dev2mstr_r_ctot09.txt,/SDY1231/StudyFiles/dev2mstr_r_ctot09.txt
SFL14253,SDY1231,Study Data,Final Disposition,dispmstr_r_ctot09.txt,/SDY1231/StudyFiles/dispmstr_r_ctot09.txt
SFL14254,SDY1231,Study Data,Eligibility,eligmstr_r_ctot09.txt,/SDY1231/StudyFiles/eligmstr_r_ctot09.txt
SFL14255,SDY1231,Study Data,Graft Failure,grafmstr_r_ctot09.txt,/SDY1231/StudyFiles/grafmstr_r_ctot09.txt
SFL14256,SDY1231,Lab Test Results,Hematology,hem2mstr_r_ctot09.txt,/SDY1231/StudyFiles/hem2mstr_r_ctot09.txt
SFL14257,SDY1231,Lab Test Results,Hematology,hemamstr_r_ctot09.txt,/SDY1231/StudyFiles/hemamstr_r_ctot09.txt
SFL14258,SDY1231,Study Data,Inpatient Hospital Visit Form,hospmstr_r_ctot09.txt,/SDY1231/StudyFiles/hospmstr_r_ctot09.txt
SFL14259,SDY1231,Study Data,Informed Consent and Pre-Screening HLA,ichlmstr_r_ctot09.txt,/SDY1231/StudyFiles/ichlmstr_r_ctot09.txt
SFL14260,SDY1231,Concomitant Medications,Immunosuppressive Medications - Induction,imdimstr_r_ctot09.txt,/SDY1231/StudyFiles/imdimstr_r_ctot09.txt
SFL14261,SDY1231,Study Data,Immuno Trough Levels,imdlmstr_r_ctot09.txt,/SDY1231/StudyFiles/imdlmstr_r_ctot09.txt
SFL14262,SDY1231,Concomitant Medications,Immunosuppressive and Infection Prophylaxis Medications,imedmstr_r_ctot09.txt,/SDY1231/StudyFiles/imedmstr_r_ctot09.txt
SFL14263,SDY1231,Study Data,Infection,infcmstr_r_ctot09.txt,/SDY1231/StudyFiles/infcmstr_r_ctot09.txt
SFL14264,SDY1231,Concomitant Medications,Immunosuppressive and Infection Prophylaxis Medications,ipmdmstr_r_ctot09.txt,/SDY1231/StudyFiles/ipmdmstr_r_ctot09.txt
SFL14265,SDY1231,Study Data,Medical History,mdhxmstr_r_ctot09.txt,/SDY1231/StudyFiles/mdhxmstr_r_ctot09.txt
SFL14266,SDY1231,Study Data,Medical History,mothmstr_r_ctot09.txt,/SDY1231/StudyFiles/mothmstr_r_ctot09.txt
SFL14267,SDY1231,Assessment Results,Physical Exam,phexmstr_r_ctot09.txt,/SDY1231/StudyFiles/phexmstr_r_ctot09.txt
SFL14268,SDY1231,Assessment Results,Physical Exam,phx2mstr_r_ctot09.txt,/SDY1231/StudyFiles/phx2mstr_r_ctot09.txt
SFL14269,SDY1231,Study Data,Pregnancy Testing,prg2mstr_r_ctot09.txt,/SDY1231/StudyFiles/prg2mstr_r_ctot09.txt
SFL14270,SDY1231,Study Data,Reduced Follow-Up,rdfumstr_r_ctot09.txt,/SDY1231/StudyFiles/rdfumstr_r_ctot09.txt
SFL14271,SDY1231,Study Data,Randomization Eligibility,rocnmstr_r_ctot09.txt,/SDY1231/StudyFiles/rocnmstr_r_ctot09.txt
SFL14272,SDY1231,Adverse Events,Serious Adverse Event,saepmstr_r_ctot09.txt,/SDY1231/StudyFiles/saepmstr_r_ctot09.txt
SFL14273,SDY1231,Adverse Events,Serious Adverse Event,saermstr_r_ctot09.txt,/SDY1231/StudyFiles/saermstr_r_ctot09.txt
SFL14274,SDY1231,Study Data,Study Therapy Discontinuation,tdismstr_r_ctot09.txt,/SDY1231/StudyFiles/tdismstr_r_ctot09.txt
SFL14275,SDY1231,Study Data,Transplant,tranmstr_r_ctot09.txt,/SDY1231/StudyFiles/tranmstr_r_ctot09.txt
SFL14276,SDY1231,Lab Test Results,Urine Chemokines,urchmstr_r_ctot09.txt,/SDY1231/StudyFiles/urchmstr_r_ctot09.txt
SFL14277,SDY1231,Lab Test Results,Urinalysis,urinmstr_r_ctot09.txt,/SDY1231/StudyFiles/urinmstr_r_ctot09.txt
SFL14278,SDY1231,Lab Test Results,Urinalysis,urn2mstr_r_ctot09.txt,/SDY1231/StudyFiles/urn2mstr_r_ctot09.txt
SFL14279,SDY1231,Lab Test Results,Viral Monitoring,viramstr_r_ctot09.txt,/SDY1231/StudyFiles/viramstr_r_ctot09.txt
SFL14280,SDY1231,Study Data,Study Visit,vistmstr_r_ctot09.txt,/SDY1231/StudyFiles/vistmstr_r_ctot09.txt
SFL14767,SDY1231,Study Data,Chemokines (ELISA),chemo_r_ctot09.txt,/SDY1231/StudyFiles/chemo_r_ctot09.txt
SFL14768,SDY1231,Study Data,ELISPOT,elispot_r_ctot09.txt,/SDY1231/StudyFiles/elispot_r_ctot09.txt
SFL14769,SDY1231,Study Data,Eplet (Epitope),eplet_r_ctot09.txt,/SDY1231/StudyFiles/eplet_r_ctot09.txt
SFL14770,SDY1231,Study Data,Flow Cytometry,flow_r_ctot09.txt,/SDY1231/StudyFiles/flow_r_ctot09.txt
SFL14771,SDY1231,Study Data,GFR,gfr_r_ctot09.txt,/SDY1231/StudyFiles/gfr_r_ctot09.txt
SFL14772,SDY1231,Study Data,Histology,his_r_ctot09.txt,/SDY1231/StudyFiles/his_r_ctot09.txt
SFL14773,SDY1231,Study Data,HLA Antibody,hlaab_r_ctot09.txt,/SDY1231/StudyFiles/hlaab_r_ctot09.txt
SFL14774,SDY1231,Study Data,HLA Typing,hlatype_r_ctot09.txt,/SDY1231/StudyFiles/hlatype_r_ctot09.txt
SFL15391,SDY1231,Case Report Form,Case Report Form,CTOT-09_aCRF_24MAR2014.pdf,/SDY1231/StudyFiles/CTOT-09_aCRF_24MAR2014.pdf
SFL15392,SDY1231,Data Dictionary,Data Dictionary,CTOT-09_DataDictionaryReport.pdf,/SDY1231/StudyFiles/CTOT-09_DataDictionaryReport.pdf
SFL15393,SDY1231,Data Dictionary,Data Dictionary,CTOT-09_Deidentified_Data_Doc_Part1.pdf,/SDY1231/StudyFiles/CTOT-09_Deidentified_Data_Doc_Part1.pdf
SFL15394,SDY1231,Data Dictionary,Data Dictionary,CTOT-09_Deidentified_Data_Doc_Part2.pdf,/SDY1231/StudyFiles/CTOT-09_Deidentified_Data_Doc_Part2.pdf
SFL19899,SDY1231,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4058.SDY1231.txt,/SDY1231/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4058.SDY1231.txt
SFL19391,SDY1249,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5597.SDY1249.txt,/SDY1249/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5597.SDY1249.txt
SFL19433,SDY1256,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6058.SDY1256.txt,/SDY1256/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6058.SDY1256.txt
SFL14308,SDY1260,Study Summary Description,Study description,Meninges Protocol v6.doc,/SDY1260/StudyFiles/Meninges Protocol v6.doc
SFL19461,SDY1260,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1260.txt,/SDY1260/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1260.txt
SFL14312,SDY1264,Study Summary Description,Study description,protocol_19029902.docx,/SDY1264/StudyFiles/protocol_19029902.docx
SFL19463,SDY1264,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1264.txt,/SDY1264/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1264.txt
SFL14313,SDY1267,Study Summary Description,Study description,Clin.Trials.protocol.pdf,/SDY1267/StudyFiles/Clin.Trials.protocol.pdf
SFL19464,SDY1267,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1267.txt,/SDY1267/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1267.txt
SFL19465,SDY1276,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1276.txt,/SDY1276/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1276.txt
SFL19339,SDY1288,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4875.SDY1288.txt,/SDY1288/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.4875.SDY1288.txt
SFL19466,SDY1289,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1289.txt,/SDY1289/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1289.txt
SFL19835,SDY1290,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3670.SDY1290.txt,/SDY1290/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3670.SDY1290.txt
SFL19467,SDY1291,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1291.txt,/SDY1291/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1291.txt
SFL19468,SDY1293,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1293.txt,/SDY1293/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1293.txt
SFL19469,SDY1294,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1294.txt,/SDY1294/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1294.txt
SFL14461,SDY1295,Assessment Results,Adolescent Medication Barriers Scale,ambsmstr_r_ctotc05.txt,/SDY1295/StudyFiles/ambsmstr_r_ctotc05.txt
SFL14462,SDY1295,Study Data,Visit Form,bmd1mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmd1mstr_r_ctotc05.txt
SFL14463,SDY1295,Study Data,Visit Form,bmd2mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmd2mstr_r_ctotc05.txt
SFL14464,SDY1295,Study Data,Visit Form,bmd3mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmd3mstr_r_ctotc05.txt
SFL14465,SDY1295,Study Data,Visit Form,bmd4mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmd4mstr_r_ctotc05.txt
SFL14466,SDY1295,Assessment Results,BMQ Scoring Worksheet,bmq1mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmq1mstr_r_ctotc05.txt
SFL14467,SDY1295,Assessment Results,BMQ Scoring Worksheet,bmq2mstr_r_ctotc05.txt,/SDY1295/StudyFiles/bmq2mstr_r_ctotc05.txt
SFL14468,SDY1295,Demographics,Recipient Demographics,dem2mstr_r_ctotc05.txt,/SDY1295/StudyFiles/dem2mstr_r_ctotc05.txt
SFL14469,SDY1295,Demographics,Recipient Demographics,demomstr_r_ctotc05.txt,/SDY1295/StudyFiles/demomstr_r_ctotc05.txt
SFL14470,SDY1295,Study Data,Protocol Deviation,devimstr_r_ctotc05.txt,/SDY1295/StudyFiles/devimstr_r_ctotc05.txt
SFL14471,SDY1295,Study Data,Final Disposition,dispmstr_r_ctotc05.txt,/SDY1295/StudyFiles/dispmstr_r_ctotc05.txt
SFL14472,SDY1295,Assessment Results,Hollingshead Socioeconomic Status Administration,hss2mstr_r_ctotc05.txt,/SDY1295/StudyFiles/hss2mstr_r_ctotc05.txt
SFL14473,SDY1295,Assessment Results,Hollingshead Socioeconomic Status Administration,hss3mstr_r_ctotc05.txt,/SDY1295/StudyFiles/hss3mstr_r_ctotc05.txt
SFL14474,SDY1295,Assessment Results,Hollingshead Socioeconomic Status Administration,hssamstr_r_ctotc05.txt,/SDY1295/StudyFiles/hssamstr_r_ctotc05.txt
SFL14475,SDY1295,Study Data,Immunosuppressive Medication Trough Levels,imdlmstr_r_ctotc05.txt,/SDY1295/StudyFiles/imdlmstr_r_ctotc05.txt
SFL14476,SDY1295,Study Medication,Immunosuppressive Medications,imedmstr_r_ctotc05.txt,/SDY1295/StudyFiles/imedmstr_r_ctotc05.txt
SFL14477,SDY1295,Assessment Results,Parent Medication Barriers Scale,pmbsmstr_r_ctotc05.txt,/SDY1295/StudyFiles/pmbsmstr_r_ctotc05.txt
SFL14478,SDY1295,Study Data,Screening,scr1mstr_r_ctotc05.txt,/SDY1295/StudyFiles/scr1mstr_r_ctotc05.txt
SFL14479,SDY1295,Study Data,Screening,scr2mstr_r_ctotc05.txt,/SDY1295/StudyFiles/scr2mstr_r_ctotc05.txt
SFL14480,SDY1295,Study Data,Screening,scr3mstr_r_ctotc05.txt,/SDY1295/StudyFiles/scr3mstr_r_ctotc05.txt
SFL16040,SDY1295,Case Report Form,Case Report Form,CTOTC-05_annotated_CRF_16AUG2012.pdf,/SDY1295/StudyFiles/CTOTC-05_annotated_CRF_16AUG2012.pdf
SFL16041,SDY1295,Data Dictionary,Data Dictionary,CTOTC-05_Deidentified_Data_Doc_Part1.pdf,/SDY1295/StudyFiles/CTOTC-05_Deidentified_Data_Doc_Part1.pdf
SFL16042,SDY1295,Data Dictionary,Data Dictionary,CTOTC-05_Deidentified_Data_Doc_Part2.pdf,/SDY1295/StudyFiles/CTOTC-05_Deidentified_Data_Doc_Part2.pdf
SFL16043,SDY1295,Data Dictionary,Data Dictionary,CTOTC-05_Metadata Report.pdf,/SDY1295/StudyFiles/CTOTC-05_Metadata Report.pdf
SFL19414,SDY1295,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5882.SDY1295.txt,/SDY1295/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5882.SDY1295.txt
SFL19393,SDY1298,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5598.SDY1298.txt,/SDY1298/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5598.SDY1298.txt
SFL15002,SDY1299,Lab Test Results,Histology and Lab Tests data descriptions,HSS.Clinical.Data.Dictionary.txt,/SDY1299/StudyFiles/HSS.Clinical.Data.Dictionary.txt
SFL15101,SDY1299,Data Dictionary,Notes on rahml Rpackage for modeling RA histology data using machine learning,readme.txt,/SDY1299/StudyFiles/readme.txt
SFL15102,SDY1299,Data Dictionary,rahml Rpackage for modeling RA histology data using machine learning,rahml.R,/SDY1299/StudyFiles/rahml.R
SFL19368,SDY1299,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5290.SDY1299.txt,/SDY1299/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5290.SDY1299.txt
SFL19562,SDY13,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.1089.SDY13.txt,/SDY13/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.1089.SDY13.txt
SFL3825,SDY13,Study Summary Description,Study document for VITD,Vitamin D3-ADVN Summary Report.doc,/SDY13/StudyFiles/Vitamin D3-ADVN Summary Report.doc
SFL19406,SDY1300,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5824.SDY1300.txt,/SDY1300/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5824.SDY1300.txt
SFL19401,SDY1302,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5775.SDY1302.txt,/SDY1302/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5775.SDY1302.txt
SFL11656,SDY131,Data Dictionary,Data Dictionary,CN01_DST v4_30Nov05.xls,/SDY131/StudyFiles/CN01_DST v4_30Nov05.xls
SFL19731,SDY131,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2872.SDY131.txt,/SDY131/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2872.SDY131.txt
SFL3957,SDY131,Study Data,Hospitalization,CN01_hos.txt,/SDY131/StudyFiles/CN01_hos.txt
SFL3958,SDY131,Lab Test Results,cn01tpt,CN01_tpt.txt,/SDY131/StudyFiles/CN01_tpt.txt
SFL3959,SDY131,Study Medication,Mycophenolate mofetil,CN01_mmf.txt,/SDY131/StudyFiles/CN01_mmf.txt
SFL3960,SDY131,Study Medication,Immunosuppression medication,CN01_imed.txt,/SDY131/StudyFiles/CN01_imed.txt
SFL3961,SDY131,Assessment Results,Transplant rejection,CN01_rej.txt,/SDY131/StudyFiles/CN01_rej.txt
SFL3962,SDY131,Study Medication,Local Sirolimus treatment,CN01_srl.txt,/SDY131/StudyFiles/CN01_srl.txt
SFL3963,SDY131,Assessment Results,Graft rejection,CN01_gfr.txt,/SDY131/StudyFiles/CN01_gfr.txt
SFL3964,SDY131,Lab Test Results,cn01pex,CN01_pex.txt,/SDY131/StudyFiles/CN01_pex.txt
SFL3965,SDY131,Study Data,Subject specimens,CN01_sub.txt,/SDY131/StudyFiles/CN01_sub.txt
SFL3966,SDY131,Study Data,Pre-transplant enrollment,CN01_enr.txt,/SDY131/StudyFiles/CN01_enr.txt
SFL3967,SDY131,Study Data,Transplantation baseline,CN01_bas.txt,/SDY131/StudyFiles/CN01_bas.txt
SFL3968,SDY131,Demographics,Demographics,CN01_dem.txt,/SDY131/StudyFiles/CN01_dem.txt
SFL3969,SDY131,Study Data,Visits,CN01_vst.txt,/SDY131/StudyFiles/CN01_vst.txt
SFL3970,SDY131,Lab Test Results,Urinalysis,CN01_uri.txt,/SDY131/StudyFiles/CN01_uri.txt
SFL3971,SDY131,Study Data,Pathology,CN01_pth.txt,/SDY131/StudyFiles/CN01_pth.txt
SFL3976,SDY131,Study Summary Description,SDY131 BISC Data Curation Notes,SDY131_BISC_Data_Curation_Notes_04022013.docx,/SDY131/StudyFiles/SDY131_BISC_Data_Curation_Notes_04022013.docx
SFL3988,SDY131,Assessment Results,Graft failure,CN01_gft.txt,/SDY131/StudyFiles/CN01_gft.txt
